"uf","sexo","idade","cor_raca","numero_trabalhos","ocupacao","posicao","ativi_principal","empressa_com_CNPJ","servidor_publico","carteira","hrs_trab_princ","anos_estudo","posicao_ocupacao","grupo_atividade","grupo_ocupacao","rendimento_mensal"
12,2,40,4,1,5223,6,48030,1,NA,NA,48,11,9,4,5,2000
12,2,20,4,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA
12,1,21,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
12,2,49,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
12,1,89,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
12,1,19,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
12,1,47,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
12,1,37,1,1,7511,3,48030,1,NA,2,48,8,2,4,7,800
12,2,20,1,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
12,1,17,1,1,9313,6,41000,2,NA,NA,24,8,9,3,9,500
12,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,32,4,1,3112,4,84013,NA,NA,2,49,5,6,8,3,3800
12,2,30,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
12,2,11,4,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
12,1,8,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,32,4,1,9111,1,97000,NA,NA,1,44,4,3,11,9,1000
12,2,32,1,1,9111,1,97000,NA,NA,2,12,5,4,11,9,100
12,1,11,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12,2,9,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,75,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
12,2,48,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,29,4,1,9313,6,41000,2,NA,NA,44,7,9,3,9,800
12,2,41,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,14,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
12,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,25,2,1,8219,3,48073,1,NA,1,44,11,1,4,8,900
12,2,22,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
12,2,24,4,1,9111,1,97000,NA,NA,2,24,8,4,11,9,300
12,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,20,4,1,9313,6,41000,2,NA,NA,44,8,9,3,9,600
12,1,26,4,1,9111,1,97000,NA,NA,2,51,4,4,11,9,622
12,2,33,1,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA
12,1,33,4,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA
12,1,13,4,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
12,2,10,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
12,1,32,4,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA
12,2,23,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,26,2,1,9333,3,10010,1,NA,1,36,11,1,2,9,750
12,2,22,1,1,9111,1,97000,NA,NA,1,40,9,3,11,9,622
12,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,29,4,1,6111,6,1401,2,NA,NA,44,6,9,1,6,350
12,2,23,4,1,5211,6,48100,2,NA,NA,32,2,9,4,5,1200
12,1,8,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,13,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12,1,40,4,1,7112,6,43000,2,NA,NA,44,0,9,3,7,1300
12,2,38,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,10,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12,1,63,1,1,9212,6,1201,2,NA,NA,40,0,9,1,9,400
12,2,55,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,19,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
12,2,15,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,34,4,1,9111,1,97000,NA,NA,1,48,12,3,11,9,454
12,1,28,4,1,7234,6,95030,2,NA,NA,44,5,9,10,7,400
12,2,18,4,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA
12,1,17,4,1,5223,3,48079,1,NA,2,48,9,2,4,5,545
12,2,42,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,15,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
12,1,12,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
12,1,25,4,1,9213,6,1401,2,NA,NA,32,4,9,1,9,350
12,1,23,1,1,9313,6,43000,2,NA,NA,40,11,9,3,9,400
12,2,25,1,1,3412,4,86002,NA,NA,2,40,11,6,9,3,545
12,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,55,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,39,4,1,9112,4,85012,NA,NA,2,20,12,6,9,9,545
12,1,51,4,1,7112,3,71000,1,NA,1,48,4,1,7,7,949
12,2,44,4,1,5153,4,84012,NA,NA,1,40,4,5,8,5,545
12,1,27,4,1,2341,4,85012,NA,NA,2,20,15,6,9,2,1600
12,1,24,4,1,9333,4,85012,NA,NA,2,20,12,6,9,9,700
12,2,21,4,1,5223,3,48042,2,NA,2,44,12,2,4,5,545
12,1,18,4,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
12,1,16,4,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
12,1,53,4,1,9211,6,1401,2,NA,NA,32,0,9,1,9,300
12,2,40,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,22,4,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
12,2,18,4,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
12,2,15,4,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
12,1,13,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
12,2,9,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
12,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,32,4,1,8172,6,16001,2,NA,NA,40,0,9,2,8,545
12,2,32,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,15,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
12,1,14,4,1,8172,7,16001,2,NA,NA,20,5,10,2,8,NA
12,2,13,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
12,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,50,4,1,5120,6,56012,2,NA,NA,48,0,9,6,5,200
12,2,68,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,16,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
